ID,Easting,Northing,Catchment,Type,Risk,River,Reservoir,Description,VisitBy,Comments,SpotMon,ContMon,Spot,Spot_params,Sonde,Sonde_params,Pump,Pump_params,Stage,Flow,Permission,Ownership,Comments_2
0,247464,64990,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Lopwell Dam,NG/PB,Access to compound required for continuous monitoring - security clearly and issue,3,3,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",Yes,"FDOM, chlorophyll, phycocyanin, pH, conductivity, DO, turbidity ",Yes,"DOC, colour, nitrate, TP, [Geosmin & chlorophyll]",Yes,No,,SWW,
5,249098,70829,Tavy,Investigation,"Geosmin, DOC",River Walkham,NA,Grenofen Bridge Weir,DL,Derelict river structure busy footpath. ,3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",Yes,"FDOM, pH, conductivity, DO, turbidity ",Yes,"DOC, colour, nitrate, TP, [Geosmin & chlorophyll]",Yes,Yes,,Maristow Estate?,
20,246652,71947,Tavy,Investigation,"Geosmin, DOC",River Lumburn,NA,Shillamill,PB,Accessible for spot sampling from bridge (EA does here). Landowner (Shillamill/Buctor) not adverse to monitoring installation here.,3,3,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",Yes,"FDOM, pH, conductivity, DO, turbidity ",Yes,"DOC, colour, nitrate, TP, [Geosmin & chlorophyll]",Yes,Yes,,David Hutchins,
70,253199,80384,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Hill Bridge,NG,"EA mon site, large weir, could site equipment on bank and chain to railing for security",3,3,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",Yes,"FDOM, pH, conductivity, DO, turbidity ",Yes,"DOC, colour, nitrate, TP, [Geosmin & chlorophyll]",Yes,No,,EA?,
75,254557,82056,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Nat Tor,NG,"Where Tavy exists peat/moorland - channel narrows, rock bedrock, bank high enough for safe autosampler - poor Q measurement, walk could be shorter if Nattor Farm agree to us using track",3,2,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",Yes,"FDOM, pH, conductivity, DO, turbidity ",Yes,"DOC, colour, nitrate, TP, [Geosmin & chlorophyll]",Yes,Yes,,MOD?,
66,250837,78518,Tavy,Investigation,"Geosmin, DOC",Cholwell Brook,NA,Weir at Whitestone Farm,NG,"Access via public footpath, park on track to left of hydro-electic enterence, brook constrained under footbridge, could site eqm within HE plant or compost site",3,1,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,NA,NA,
58,250229,76655,Tavy,Investigation,"Geosmin, DOC",River Burn,NA,Half Bridge,NG,Park on road to Harford Bridge then track take you to a ford - ideal for spot sample,3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,NA,NA,
61,250577,76759,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Harford Bridge,NG,"Large 3 arch stone bridge, poorly constrained river, easy access for spot sample via caravan park - Harford Bridge Park",3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,,Harford Bridge Caraven Park,
78,251036,78443,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Footbridge at Whitestone Farm,NG,"Park on track next to HydroElectic plant short walk along bridalway to footbridge, river easily accesible but poorly constrained",3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,,NA,
81,247608,69911,Tavy,Investigation,"Geosmin, DOC",River Tavy,NA,Watersmeet Cottages Tavy,NG,4x4 access to Watersmeet Cottages - U/S confluence with Walkham,3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,,Watersmeet Cottage,
82,247601,69887,Tavy,Investigation,"Geosmin, DOC",River Walkham,NA,Watersmeet Cottages Walkham,NG,4x4 access to Watersmeet Cottages - U/S Confluence with Tavy,3,0,Yes,"DOC, colour, nitrate, total phosphate, [chlorophyll, geosmin]",No,NA,No,NA,No,No,,Watersmeet Cottage,
93,255085,68793,Burrator Reservoir,Scheme,DOC,Devonport Leat,NA,Bridge - potential mon site,ALL,"Well constrained, adjacent to road, less obvious to passers by",3,3,Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Maybe,"FDOM, pH, turbidity, T, conductivity, DO",Maybe,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Maybe,Maybe,,,Monitor here or 94
94,256441,69555,Burrator Reservoir,Scheme,DOC,Devonport Leat,NA,Gauging station with flume,ALL,Potential old monitoring station,3,3,Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Maybe,"FDOM, pH, turbidity, T, conductivity, DO",Maybe,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Maybe,Maybe,,,Monitor here or 93
95,256648,69192,Burrator Reservoir,Scheme,DOC,Meavy,NA,Weirs/Castle,ALL,,3,3,Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Yes,"FDOM, pH, turbidity, T, conductivity, DO",Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Yes,No,,SWW?,
